2025-04-07 13:26:42,178 - INFO - Env 18, Goal (018.7, -33.9), Episode 00002, setp 353, Reward -118.5, Crashed,
2025-04-07 13:26:42,178 - INFO - Env 17, Goal (-19.2, -08.9), Episode 00002, setp 900, Reward 8.3  , Reach Goal,
2025-04-07 13:26:52,570 - INFO - Env 08, Goal (002.2, 017.8), Episode 00002, setp 1074, Reward 10.3 , Reach Goal,
2025-04-07 13:26:52,570 - INFO - Env 09, Goal (-22.7, 023.4), Episode 00002, setp 900, Reward 9.0  , Reach Goal,
2025-04-07 13:26:52,570 - INFO - Env 07, Goal (-34.9, 029.6), Episode 00002, setp 425, Reward -139.5, Crashed,
2025-04-07 13:26:52,570 - INFO - Env 06, Goal (011.7, 004.7), Episode 00002, setp 527, Reward 9.2  , Reach Goal,
2025-04-07 13:26:55,372 - INFO - Env 20, Goal (002.3, -05.6), Episode 00002, setp 1024, Reward 9.6  , Reach Goal,
2025-04-07 13:26:55,372 - INFO - Env 23, Goal (006.8, 024.1), Episode 00002, setp 679, Reward 11.1 , Reach Goal,
2025-04-07 13:26:55,372 - INFO - Env 21, Goal (031.9, -27.6), Episode 00002, setp 674, Reward -58.0, Crashed,
2025-04-07 13:26:55,372 - INFO - Env 22, Goal (-35.0, 009.0), Episode 00002, setp 468, Reward 9.5  , Reach Goal,
2025-04-07 13:26:55,372 - INFO - Env 19, Goal (-30.4, 030.5), Episode 00002, setp 810, Reward 8.9  , Reach Goal,
2025-04-07 13:27:11,270 - INFO - Env 10, Goal (-28.2, 023.2), Episode 00002, setp 1175, Reward 10.0 , Reach Goal,
2025-04-07 13:27:11,270 - INFO - Env 12, Goal (006.7, 019.0), Episode 00002, setp 899, Reward 8.1  , Reach Goal,
2025-04-07 13:27:11,270 - INFO - Env 13, Goal (-03.3, 016.9), Episode 00002, setp 1156, Reward 9.3  , Reach Goal,
2025-04-07 13:27:11,271 - INFO - Env 11, Goal (-12.0, -22.7), Episode 00002, setp 558, Reward 9.7  , Reach Goal,
2025-04-07 13:27:11,270 - INFO - Env 14, Goal (-09.3, 032.2), Episode 00002, setp 712, Reward 10.1 , Reach Goal,
2025-04-07 13:27:45,779 - INFO - Env 01, Goal (023.2, 016.6), Episode 00002, setp 347, Reward -73.6, Crashed,
2025-04-07 13:27:45,779 - INFO - Env 03, Goal (009.4, -35.0), Episode 00002, setp 1501, Reward -4.8 , Time out,
2025-04-07 13:27:45,779 - INFO - Env 05, Goal (000.1, -21.5), Episode 00002, setp 355, Reward -52.7, Crashed,
2025-04-07 13:27:45,779 - INFO - Env 04, Goal (-19.1, 006.1), Episode 00002, setp 354, Reward -60.0, Crashed,
2025-04-07 13:27:45,779 - INFO - Env 02, Goal (019.3, 008.7), Episode 00002, setp 726, Reward 9.6  , Reach Goal,
2025-04-07 13:27:48,078 - INFO - Env 16, Goal (030.2, 027.9), Episode 00003, setp 624, Reward 9.7  , Reach Goal,
2025-04-07 13:27:48,078 - INFO - Env 15, Goal (-06.6, -03.7), Episode 00003, setp 339, Reward -67.3, Crashed,
2025-04-07 13:27:48,078 - INFO - Env 17, Goal (-19.2, -08.9), Episode 00003, setp 509, Reward 9.8  , Reach Goal,
2025-04-07 13:27:48,078 - INFO - Env 18, Goal (018.7, -33.9), Episode 00003, setp 145, Reward -153.0, Crashed,
2025-04-07 13:28:24,977 - INFO - Env 21, Goal (031.9, -27.6), Episode 00003, setp 848, Reward 11.2 , Reach Goal,
2025-04-07 13:28:24,977 - INFO - Env 20, Goal (002.3, -05.6), Episode 00003, setp 580, Reward 10.1 , Reach Goal,
2025-04-07 13:28:24,977 - INFO - Env 22, Goal (-35.0, 009.0), Episode 00003, setp 291, Reward 10.4 , Reach Goal,
2025-04-07 13:28:24,977 - INFO - Env 19, Goal (-30.4, 030.5), Episode 00003, setp 116, Reward 9.6  , Reach Goal,
2025-04-07 13:28:24,977 - INFO - Env 23, Goal (006.8, 024.1), Episode 00003, setp 588, Reward 8.6  , Reach Goal,
2025-04-07 13:28:53,684 - INFO - Env 16, Goal (030.2, 027.9), Episode 00004, setp 545, Reward 10.7 , Reach Goal,
2025-04-07 13:28:53,684 - INFO - Env 18, Goal (018.7, -33.9), Episode 00004, setp 620, Reward -96.5, Crashed,
2025-04-07 13:28:53,684 - INFO - Env 17, Goal (-19.2, -08.9), Episode 00004, setp 001, Reward 15.0 , Reach Goal,
2025-04-07 13:28:53,684 - INFO - Env 15, Goal (-06.6, -03.7), Episode 00004, setp 172, Reward -86.6, Crashed,
2025-04-07 13:28:59,081 - INFO - Env 06, Goal (011.7, 004.7), Episode 00003, setp 365, Reward 10.2 , Reach Goal,
2025-04-07 13:28:59,081 - INFO - Env 07, Goal (-34.9, 029.6), Episode 00003, setp 1202, Reward 4.5  , Reach Goal,
2025-04-07 13:28:59,081 - INFO - Env 08, Goal (002.2, 017.8), Episode 00003, setp 610, Reward 10.4 , Reach Goal,
2025-04-07 13:28:59,081 - INFO - Env 09, Goal (-22.7, 023.4), Episode 00003, setp 647, Reward 10.6 , Reach Goal,
2025-04-07 13:29:10,575 - INFO - Env 14, Goal (-09.3, 032.2), Episode 00003, setp 236, Reward 9.6  , Reach Goal,
2025-04-07 13:29:10,575 - INFO - Env 12, Goal (006.7, 019.0), Episode 00003, setp 700, Reward 5.6  , Reach Goal,
2025-04-07 13:29:10,575 - INFO - Env 11, Goal (-12.0, -22.7), Episode 00003, setp 331, Reward 10.3 , Reach Goal,
2025-04-07 13:29:10,575 - INFO - Env 13, Goal (-03.3, 016.9), Episode 00003, setp 100, Reward -88.8, Crashed,
2025-04-07 13:29:10,575 - INFO - Env 10, Goal (-28.2, 023.2), Episode 00003, setp 1132, Reward 10.5 , Reach Goal,
2025-04-07 13:29:11,571 - INFO - Env 05, Goal (000.1, -21.5), Episode 00003, setp 503, Reward 9.0  , Reach Goal,
2025-04-07 13:29:11,571 - INFO - Env 02, Goal (019.3, 008.7), Episode 00003, setp 429, Reward 8.9  , Reach Goal,
2025-04-07 13:29:11,571 - INFO - Env 03, Goal (009.4, -35.0), Episode 00003, setp 816, Reward -69.9, Crashed,
2025-04-07 13:29:11,571 - INFO - Env 04, Goal (-19.1, 006.1), Episode 00003, setp 642, Reward 8.2  , Reach Goal,
2025-04-07 13:29:11,571 - INFO - Env 01, Goal (023.2, 016.6), Episode 00003, setp 369, Reward -68.0, Crashed,
2025-04-07 13:29:24,883 - INFO - Env 23, Goal (006.8, 024.1), Episode 00004, setp 569, Reward 8.1  , Reach Goal,
2025-04-07 13:29:24,883 - INFO - Env 22, Goal (-35.0, 009.0), Episode 00004, setp 220, Reward 8.2  , Reach Goal,
2025-04-07 13:29:24,883 - INFO - Env 19, Goal (-30.4, 030.5), Episode 00004, setp 038, Reward 9.2  , Reach Goal,
2025-04-07 13:29:24,883 - INFO - Env 20, Goal (002.3, -05.6), Episode 00004, setp 317, Reward -43.0, Crashed,
2025-04-07 13:29:24,883 - INFO - Env 21, Goal (031.9, -27.6), Episode 00004, setp 311, Reward -90.8, Crashed,
2025-04-07 13:29:58,782 - INFO - Env 18, Goal (018.7, -33.9), Episode 00005, setp 591, Reward -72.2, Crashed,
2025-04-07 13:29:58,782 - INFO - Env 17, Goal (-19.2, -08.9), Episode 00005, setp 567, Reward 9.2  , Reach Goal,
2025-04-07 13:29:58,782 - INFO - Env 16, Goal (030.2, 027.9), Episode 00005, setp 499, Reward 11.0 , Reach Goal,
2025-04-07 13:29:58,782 - INFO - Env 15, Goal (-06.6, -03.7), Episode 00005, setp 614, Reward 9.3  , Reach Goal,
2025-04-07 13:30:19,495 - INFO - Env 20, Goal (002.3, -05.6), Episode 00005, setp 293, Reward -46.3, Crashed,
2025-04-07 13:30:19,495 - INFO - Env 23, Goal (006.8, 024.1), Episode 00005, setp 510, Reward 10.3 , Reach Goal,
2025-04-07 13:30:19,495 - INFO - Env 21, Goal (031.9, -27.6), Episode 00005, setp 001, Reward -140.4, Crashed,
2025-04-07 13:30:19,495 - INFO - Env 19, Goal (-30.4, 030.5), Episode 00005, setp 036, Reward 8.9  , Reach Goal,
2025-04-07 13:30:19,495 - INFO - Env 22, Goal (-35.0, 009.0), Episode 00005, setp 205, Reward 10.8 , Reach Goal,
2025-04-07 13:30:43,884 - INFO - Env 01, Goal (023.2, 016.6), Episode 00004, setp 704, Reward 10.4 , Reach Goal,
2025-04-07 13:30:43,884 - INFO - Env 02, Goal (019.3, 008.7), Episode 00004, setp 300, Reward 9.3  , Reach Goal,
2025-04-07 13:30:43,884 - INFO - Env 04, Goal (-19.1, 006.1), Episode 00004, setp 718, Reward 9.6  , Reach Goal,
2025-04-07 13:30:43,884 - INFO - Env 03, Goal (009.4, -35.0), Episode 00004, setp 866, Reward -54.1, Crashed,
2025-04-07 13:30:43,884 - INFO - Env 05, Goal (000.1, -21.5), Episode 00004, setp 470, Reward 10.4 , Reach Goal,
2025-04-07 13:31:08,875 - INFO - Env 20, Goal (002.3, -05.6), Episode 00006, setp 231, Reward -55.0, Crashed,
2025-04-07 13:31:08,875 - INFO - Env 21, Goal (031.9, -27.6), Episode 00006, setp 001, Reward -138.7, Crashed,
2025-04-07 13:31:08,875 - INFO - Env 22, Goal (-35.0, 009.0), Episode 00006, setp 183, Reward 8.4  , Reach Goal,
2025-04-07 13:31:08,875 - INFO - Env 19, Goal (-30.4, 030.5), Episode 00006, setp 042, Reward 9.5  , Reach Goal,
2025-04-07 13:31:08,875 - INFO - Env 23, Goal (006.8, 024.1), Episode 00006, setp 470, Reward 10.0 , Reach Goal,
